N;confidence;eps1;eps2;consensus_x;consensus_y;consensus_probabity;simulation_time;cluster_data;simulation_count
50.0;rectangle;0.8;0.4;449.22809049855834;450.0316392386928;900.0;3662.0;;900.0
50.0;rectangle;0.8;0.45;450.1628890545179;451.84050479182935;900.0;3566.0;;900.0
50.0;rectangle;0.8;0.5;452.3846444631491;447.36865474987184;900.0;3030.0;;900.0
50.0;rectangle;0.8;0.55;449.47552177097634;450.39473620940817;900.0;2721.0;;900.0
50.0;rectangle;0.8;0.6;452.0180254644883;449.8366901412688;900.0;2700.0;;900.0
50.0;rectangle;0.8;0.65;450.95694765111614;450.35043023739024;900.0;2700.0;;900.0
50.0;rectangle;0.8;0.7;451.049890813117;449.958497773461;900.0;2700.0;;900.0
50.0;rectangle;0.8;0.75;450.68125806964656;449.178085587633;900.0;2700.0;;900.0
50.0;rectangle;0.8;0.8;448.6609118602752;449.66434051771034;900.0;2700.0;;900.0
50.0;rectangle;0.8;0.85;451.1947865102426;450.6201795520645;900.0;2700.0;;900.0
50.0;rectangle;0.8;0.9;448.79590482176445;448.94300151463887;900.0;2700.0;;900.0
50.0;rectangle;0.8;0.95;451.3059947735109;449.5837774951655;900.0;2700.0;;900.0
